Team,Player,Lane,Total_Games,Total_Kills,Avg_Kills,Total_Deaths,Avg_Deaths,Total_Assists,Avg_Assists,Avg_KDA,Kill_Participation,MPL
TLPH,Jaypee,ROAM,33,44,1.1,94,2.35,399,9.97,4.71,78.55%,MPL PH
TLPH,KarlTzy,JUNGLE,33,186,4.65,63,1.57,211,5.28,6.3,70.39%,MPL PH
TLPH,Sanford,EXP,33,123,3.08,79,1.98,246,6.15,4.67,65.43%,MPL PH
TLPH,AeronnShikii,GOLD,0,0,0,0,0,0,0,0,0,MPL PH
TLPH,Daiki_,GOLD,5,16,3.2,7,1.4,19,3.8,5,47.30%,MPL PH
TLPH,Teddy,GOLD,28,100,2.86,28,0.8,162,4.63,9.36,53.47%,MPL PH
TWIS,Lansu,MID,33,62,1.72,78,2.17,205,5.69,3.42,69.35%,MPL PH
TWIS,MPtheKing.,JUNGLE,33,140,3.89,81,2.25,157,4.36,3.67,77.14%,MPL PH
TWIS,Nosia,GOLD,21,33,1.83,29,1.61,80,4.44,3.9,61.41%,MPL PH
TWIS,Caloy,ROAM,33,19,0.83,90,3.91,171,7.43,2.11,80.51%,MPL PH
TWIS,Sionnn,MID,33,88,2.44,68,1.89,226,6.28,4.62,81.56%,MPL PH
TWIS,Owl.,GOLD,12,34,1.89,34,1.89,82,4.56,3.41,57.71%,MPL PH
FLCN,Owgwen,ROAM,34,50,1.22,113,2.76,350,8.54,3.54,76.34%,MPL PH
FLCN,Kyle,JUNGLE,34,158,3.85,78,1.9,235,5.73,5.04,75.00%,MPL PH
FLCN,SuperMarco,GOLD,34,124,3.02,43,1.05,236,5.76,8.37,68.70%,MPL PH
FLCN,Flap,EXP,34,81,1.98,104,2.54,278,6.78,3.45,68.51%,MPL PH
FLCN,Hadji,MID,34,111,2.71,68,1.66,295,7.2,5.97,77.48%,MPL PH
FLCN,Ferdz,EXP,0,0,0,0,0,0,0,0,0,MPL PH
BTR,MORENOOO,MID,35,106,3.03,47,1.34,265,7.57,7.89,78%,MPL ID
BTR,EMANNN,GOLD,36,119,3.31,49,1.36,229,6.36,7.1,72%,MPL ID
BTR,FINN,ROAM,38,32,0.84,104,2.74,328,8.63,3.46,73%,MPL ID
BTR,NNAEL,JUNGLE,38,162,4.26,99,2.61,232,6.11,3.98,79%,MPL ID
BTR,SHOGUN,EXP,33,63,1.91,110,3.33,210,6.36,2.48,60%,MPL ID
BTR,CLIVEEE,GOLD,2,1,0.5,3,1.5,3,1.5,1.33,31%,MPL ID
BTR,RYZAA,MID,3,8,2.67,5,1.67,8,2.67,3.2,80%,MPL ID
BTR,LYNCH,EXP,5,5,1,19,3.8,17,3.4,1.16,51%,MPL ID
EVOS,KYY,ROAM,29,22,0.76,101,3.48,246,8.48,2.65,74%,MPL ID
EVOS,ALBERTTT,JUNGLE,33,123,3.73,62,1.88,195,5.91,5.13,81%,MPL ID
EVOS,ERLAN,GOLD,33,114,3.45,37,1.12,146,4.42,7.03,66%,MPL ID
EVOS,TREACKY,MID,9,17,1.89,19,2.11,66,7.33,4.37,70%,MPL ID
EVOS,EGATZY,ROAM,4,4,1,16,4,20,5,1.5,80%,MPL ID
EVOS,VELL,EXP,3,3,1,8,2.67,11,3.67,1.75,64%,MPL ID
EVOS,LUKE,EXP,30,59,1.97,90,3,204,6.8,2.92,71%,MPL ID
EVOS,Pheww,MID,24,50,2.08,40,1.67,179,7.46,5.72,84%,MPL ID
RRQ,SUPERTOYY,GOLD,21,63,3,37,1.76,49,2.33,3.03,63%,MPL ID
RRQ,RINZ,MID,8,14,1.75,23,2.88,30,3.75,1.91,66%,MPL ID
RRQ,IDOK,ROAM,34,27,0.79,150,4.41,210,6.18,1.58,72%,MPL ID
RRQ,SUPERKENN,JUNGLE,34,83,2.44,78,2.29,163,4.79,3.15,75%,MPL ID
RRQ,SUPERDANN,EXP,27,46,1.7,103,3.81,136,5.04,1.77,66%,MPL ID
RRQ,YEHEZKIEL,MID,26,50,1.92,38,1.46,173,6.65,5.87,85%,MPL ID
RRQ,KUROKY,GOLD,20,47,2.35,60,3,83,4.15,2.17,62%,MPL ID
ONIC,KIBOY,ROAM,32,31,0.97,93,2.91,307,9.59,3.63,72%,MPL ID
ONIC,SANZ,MID,32,85,2.66,45,1.41,258,8.06,7.62,73%,MPL ID
ONIC,KAIRI,JUNGLE,32,159,4.97,39,1.22,182,5.69,8.74,73%,MPL ID
ONIC,LUTPI,EXP,32,80,2.5,87,2.72,193,6.03,3.14,58%,MPL ID
ONIC,KELRA,GOLD,32,115,3.59,31,0.97,185,5.78,9.68,64%,MPL ID
ONIC,SSAMUEL,ROAM,0,0,0,0,0,0,0,0,0%,MPL ID
AE,NINO,EXP,44,83,1.89,117,2.66,252,5.73,2.86,62%,MPL ID
AE,ARFY,GOLD,44,160,3.64,92,2.09,167,3.8,3.55,60%,MPL ID
AE,ALEKK,ROAM,44,34,0.77,167,3.8,293,6.66,1.96,60%,MPL ID
AE,HIJUMEE,MID,33,67,2.03,88,2.67,233,7.06,3.41,76%,MPL ID
AE,CYRUZ,MID,11,25,2.27,25,2.27,84,7.64,4.36,74%,MPL ID
AE,REYY,JUNGLE,3,6,2,7,2.33,16,5.33,3.14,63%,MPL ID
AE,YAZUKEE,JUNGLE,41,166,4.05,108,2.63,220,5.37,3.57,76%,MPL ID
GEEK,BALOYSKIE,ROAM,35,35,1,139,3.97,282,8.06,2.28,77%,MPL ID
GEEK,KENNZYYSKIE,GOLD,35,106,3.03,71,2.03,162,4.63,3.77,65%,MPL ID
GEEK,ABOY,MID,35,77,2.2,63,1.8,254,7.26,5.25,80%,MPL ID
GEEK,MARCEL,EXP,33,73,2.21,105,3.18,168,5.09,2.3,62%,MPL ID
GEEK,ASUNE,ROAM,0,0,0,0,0,0,0,0,0%,MPL ID
GEEK,Ye3,EXP,2,5,2.5,12,6,6,3,0.92,50%,MPL ID
GEEK,Nazara,JUNGLE,19,58,3.05,33,1.74,103,5.42,4.88,76%,MPL ID
DEWA,MUEZZA,ROAM,36,38,1.06,114,3.17,288,8,2.86,73%,MPL ID
DEWA,MAYBEEE,GOLD,36,95,2.64,50,1.39,195,5.42,5.8,65%,MPL ID
DEWA,QINN,EXP,36,74,2.06,114,3.17,206,5.72,2.46,62%,MPL ID
DEWA,OCTA,MID,36,111,3.08,53,1.47,237,6.58,6.57,78%,MPL ID
DEWA,KESU,ROAM,0,0,0,0,0,0,0,0,0%,MPL ID
DEWA,DOLYNN,JUNGLE,33,123,3.73,84,2.55,159,4.82,3.36,69%,MPL ID
DEWA,Kayn,JUNGLE,3,7,2.33,4,1.33,22,7.33,7.25,74%,MPL ID
TLID,Aran,EXP,37,79,2.14,92,2.49,221,5.97,3.26,65%,MPL ID
TLID,KYOUU,GOLD,37,115,3.11,53,1.43,197,5.32,5.89,67%,MPL ID
TLID,KEVINNN,JUNGLE,37,118,3.19,109,2.95,231,6.24,3.2,75%,MPL ID
TLID,DRICHEL,MID,37,115,3.11,53,1.43,277,7.49,7.4,84%,MPL ID
TLID,LYONI,ROAM,37,37,1,165,4.46,311,8.41,2.11,75%,MPL ID
TLID,AREDLAVV,EXP,0,0,0,0,0,0,0,0,0%,MPL ID
NAVI,KARSS,EXP,37,75,2.03,115,3.11,204,5.51,2.43,67%,MPL ID
NAVI,XMAGIC,MID,0,0,0,0,0,0,0,0,0%,MPL ID
NAVI,XYVE,GOLD,28,59,2.11,48,1.71,142,5.07,4.19,65%,MPL ID
NAVI,APRHO,ROAM,37,34,0.92,105,2.84,292,7.89,3.1,78%,MPL ID
NAVI,UK1R,MID,28,69,2.46,55,1.96,186,6.64,4.64,83%,MPL ID
NAVI,ANDORYUUU,JUNGLE,37,124,3.35,75,2.03,183,4.95,4.09,73%,MPL ID
NAVI,ZEONN,MID,0,0,0,0,0,0,0,8.78,0%,MPL ID
SRG,Innocent,GOLD,26,97,3.73,38,1.46,198,7.62,8.08,77%,MPL MY
SRG,YumS,JUNGLE,26,118,4.54,52,2,189,7.27,5.9,82%,MPL MY
SRG,Unii,MID,26,84,3.23,44,1.69,211,8.12,6.94,81%,MPL MY
SRG,kramM,EXP,26,72,2.77,71,2.73,193,7.42,3.73,68%,MPL MY
SRG,Winter,ROAM,26,18,0.69,85,3.27,247,9.5,3.22,70%,MPL MY
SRG,Stormie,JUNGLE,4,14,3.5,10,2.5,31,7.75,4.5,79%,MPL MY
SRG,Sekysss,EXP,3,7,2.33,9,3,18,6,2.78,63%,MPL MY
iG,Hazle,GOLD,28,112,4,41,1.46,213,7.61,7.93,80%,MPL MY
iG,Novaxcobar,JUNGLE,28,129,4.61,60,2.14,186,6.64,5.84,84%,MPL MY
iG,Spencer,MID,28,86,3.07,57,2.04,198,7.07,4.99,75%,MPL MY
iG,Melqt,EXP,28,78,2.79,74,2.64,190,6.79,3.63,69%,MPL MY
iG,AlexTM,ROAM,28,21,0.75,92,3.29,232,8.29,2.75,66%,MPL MY
TR,Loleal,GOLD,24,88,3.67,43,1.79,172,7.17,6.05,76%,MPL MY
TR,Martzyyyy,JUNGLE,24,102,4.25,55,2.29,164,6.83,4.87,80%,MPL MY
TR,Just Garr,MID,24,79,3.29,49,2.04,178,7.42,5.25,77%,MPL MY
TR,Sizkaa,EXP,24,68,2.83,69,2.88,163,6.79,3.35,67%,MPL MY
TR,Ivann,ROAM,24,17,0.71,78,3.25,214,8.92,2.97,70%,MPL MY
VMS,CLAWKUN,GOLD,22,74,3.36,42,1.91,148,6.73,5.29,73%,MPL MY
VMS,NATCO,JUNGLE,22,92,4.18,51,2.32,142,6.45,4.59,77%,MPL MY
VMS,ZQEEF,MID,22,71,3.23,50,2.27,154,7,4.5,74%,MPL MY
VMS,ERROR 404,EXP,22,60,2.73,65,2.95,140,6.36,3.08,64%,MPL MY
VMS,ZENOO,ROAM,22,15,0.68,72,3.27,184,8.36,2.76,67%,MPL MY
BTRM,CikuGais,GOLD,20,68,3.4,40,2,131,6.55,4.98,70%,MPL MY
BTRM,Rasy,JUNGLE,20,84,4.2,48,2.4,118,5.9,4.21,74%,MPL MY
BTRM,Zieyy,MID,20,63,3.15,47,2.35,129,6.45,4.09,70%,MPL MY
BTRM,Anavel,EXP,20,52,2.6,62,3.1,121,6.05,2.79,63%,MPL MY
BTRM,Jarvis,ROAM,20,14,0.7,68,3.4,157,7.85,2.51,64%,MPL MY
RRQT,Garyy,GOLD,20,72,3.6,44,2.2,132,6.6,4.64,72%,MPL MY
RRQT,Rough,JUNGLE,20,85,4.25,50,2.5,119,5.95,4.08,73%,MPL MY
RRQT,Superyoshi,MID,20,61,3.05,48,2.4,124,6.2,3.85,67%,MPL MY
RRQT,Kyym,EXP,20,55,2.75,63,3.15,117,5.85,2.73,62%,MPL MY
RRQT,Nadzim,ROAM,20,12,0.6,72,3.6,148,7.4,2.22,59%,MPL MY
AC,Izanami,GOLD,22,71,3.23,51,2.32,131,5.95,3.97,67%,MPL MY
AC,Eyymal,JUNGLE,22,78,3.55,58,2.64,117,5.32,3.36,65%,MPL MY
AC,Fezzy,MID,22,58,2.64,55,2.5,124,5.64,3.31,64%,MPL MY
AC,Xavi,EXP,22,51,2.32,68,3.09,113,5.14,2.41,58%,MPL MY
AC,Redz,ROAM,22,13,0.59,77,3.5,145,6.59,2.05,56%,MPL MY
FL,Skyzed,GOLD,14,42,3,38,2.71,82,5.86,3.29,62%,MPL MY
FL,Afdhal,JUNGLE,14,46,3.29,42,3,74,5.29,2.86,58%,MPL MY
FL,Takeo,MID,14,35,2.5,40,2.86,78,5.57,2.83,57%,MPL MY
FL,Firon,EXP,14,30,2.14,48,3.43,68,4.86,2.04,53%,MPL MY
FL,Hyquill,ROAM,14,8,0.57,53,3.79,91,6.5,1.87,54%,MPL MY
