Team,Player,Lane,Total_Games,Total_Kills,Avg_Kills,Total_Deaths,Avg_Deaths,Total_Assists,Avg_Assists,Avg_KDA,Kill_Participation
EVOS,ALBERTTT,JUNGLE,33,123,3.73,62,1.88,195,5.91,5.13,81%
EVOS,ERLAN,GOLD,33,114,3.45,37,1.12,146,4.42,7.03,66%
EVOS,TREACKY,MID,9,17,1.89,19,2.11,66,7.33,4.37,70%
EVOS,EGATZY,ROAM,4,4,1,16,4,20,5,1.5,80%
EVOS,VELL,EXP,3,3,1,8,2.67,11,3.67,1.75,64%
EVOS,LUKE,EXP,30,59,1.97,90,3,204,6.8,2.92,71%
EVOS,Pheww,MID,24,50,2.08,40,1.67,179,7.46,5.72,84%
RRQ,SUPERTOYY,GOLD,21,63,3,37,1.76,49,2.33,3.03,63%
RRQ,RINZ,MID,8,14,1.75,23,2.88,30,3.75,1.91,66%
RRQ,IDOK,ROAM,34,27,0.79,150,4.41,210,6.18,1.58,72%
RRQ,SUPERKENN,JUNGLE,34,83,2.44,78,2.29,163,4.79,3.15,75%
RRQ,SUPERDANN,EXP,27,46,1.7,103,3.81,136,5.04,1.77,66%
RRQ,YEHEZKIEL,MID,26,50,1.92,38,1.46,173,6.65,5.87,85%
RRQ,KUROKY,GOLD,20,47,2.35,60,3,83,4.15,2.17,62%
ONIC,KIBOY,ROAM,32,31,0.97,93,2.91,307,9.59,3.63,72%
ONIC,SANZ,MID,32,85,2.66,45,1.41,258,8.06,7.62,73%
ONIC,KAIRI,JUNGLE,32,159,4.97,39,1.22,182,5.69,8.74,73%
ONIC,LUTPI,EXP,32,80,2.5,87,2.72,193,6.03,3.14,58%
ONIC,KELRA,GOLD,32,115,3.59,31,0.97,185,5.78,9.68,64%
ONIC,SSAMUEL,ROAM,0,0,0,0,0,0,0,0,0%
AE,NINO,EXP,44,83,1.89,117,2.66,252,5.73,2.86,62%
AE,ARFY,GOLD,44,160,3.64,92,2.09,167,3.8,3.55,60%
AE,ALEKK,ROAM,44,34,0.77,167,3.8,293,6.66,1.96,60%
AE,HIJUMEE,MID,33,67,2.03,88,2.67,233,7.06,3.41,76%
AE,CYRUZ,MID,11,25,2.27,25,2.27,84,7.64,4.36,74%
AE,REYY,JUNGLE,3,6,2,7,2.33,16,5.33,3.14,63%
AE,YAZUKEE,JUNGLE,41,166,4.05,108,2.63,220,5.37,3.57,76%
GEEK,BALOYSKIE,ROAM,35,35,1,139,3.97,282,8.06,2.28,77%
GEEK,KENNZYYSKIE,GOLD,35,106,3.03,71,2.03,162,4.63,3.77,65%
GEEK,ABOY,MID,35,77,2.2,63,1.8,254,7.26,5.25,80%
GEEK,MARCEL,EXP,33,73,2.21,105,3.18,168,5.09,2.3,62%
GEEK,ASUNE,ROAM,0,0,0,0,0,0,0,0,0%
GEEK,Ye3,EXP,2,5,2.5,12,6,6,3,0.92,50%
GEEK,Nazara,JUNGLE,19,58,3.05,33,1.74,103,5.42,4.88,76%
DEWA,MUEZZA,ROAM,36,38,1.06,114,3.17,288,8,2.86,73%
DEWA,MAYBEEE,GOLD,36,95,2.64,50,1.39,195,5.42,5.8,65%
DEWA,QINN,EXP,36,74,2.06,114,3.17,206,5.72,2.46,62%
DEWA,OCTA,MID,36,111,3.08,53,1.47,237,6.58,6.57,78%
DEWA,KESU,ROAM,0,0,0,0,0,0,0,0,0%
DEWA,DOLYNN,JUNGLE,33,123,3.73,84,2.55,159,4.82,3.36,69%
DEWA,Kayn,JUNGLE,3,7,2.33,4,1.33,22,7.33,7.25,74%
TLID,Aran,EXP,37,79,2.14,92,2.49,221,5.97,3.26,65%
TLID,KYOUU,GOLD,37,115,3.11,53,1.43,197,5.32,5.89,67%
TLID,KEVINNN,JUNGLE,37,118,3.19,109,2.95,231,6.24,3.2,75%
TLID,DRICHEL,MID,37,115,3.11,53,1.43,277,7.49,7.4,84%
TLID,LYONI,ROAM,37,37,1,165,4.46,311,8.41,2.11,75%
TLID,AREDLAVV,EXP,0,0,0,0,0,0,0,0,0%
NAVI,KARSS,EXP,37,75,2.03,115,3.11,204,5.51,2.43,67%
NAVI,XMAGIC,MID,0,0,0,0,0,0,0,0,0%
NAVI,XYVE,GOLD,28,59,2.11,48,1.71,142,5.07,4.19,65%
NAVI,APRHO,ROAM,37,34,0.92,105,2.84,292,7.89,3.1,78%
NAVI,UK1R,MID,28,69,2.46,55,1.96,186,6.64,4.64,83%
NAVI,ANDORYUUU,JUNGLE,37,124,3.35,75,2.03,183,4.95,4.09,73%
NAVI,ZEONN,MID,0,0,0,0,0,0,0,8.78,0%
SRG,Innocent,GOLD,26,97,3.73,38,1.46,198,7.62,8.08,77%
SRG,YumS,JUNGLE,26,118,4.54,52,2,189,7.27,5.9,82%
SRG,Unii,MID,26,84,3.23,44,1.69,211,8.12,6.94,81%
SRG,kramM,EXP,26,72,2.77,71,2.73,193,7.42,3.73,68%
SRG,Winter,ROAM,26,18,0.69,85,3.27,247,9.5,3.22,70%
SRG,Stormie,JUNGLE,4,14,3.5,10,2.5,31,7.75,4.5,79%
SRG,Sekysss,EXP,3,7,2.33,9,3,18,6,2.78,63%
iG,Hazle,GOLD,28,112,4,41,1.46,213,7.61,7.93,80%
iG,Novaxcobar,JUNGLE,28,129,4.61,60,2.14,186,6.64,5.84,84%
iG,Spencer,MID,28,86,3.07,57,2.04,198,7.07,4.99,75%
iG,Melqt,EXP,28,78,2.79,74,2.64,190,6.79,3.63,69%
iG,AlexTM,ROAM,28,21,0.75,92,3.29,232,8.29,2.75,66%
TR,Loleal,GOLD,24,88,3.67,43,1.79,172,7.17,6.05,76%
TR,Martzyyyy,JUNGLE,24,102,4.25,55,2.29,164,6.83,4.87,80%
TR,Just Garr,MID,24,79,3.29,49,2.04,178,7.42,5.25,77%
TR,Sizkaa,EXP,24,68,2.83,69,2.88,163,6.79,3.35,67%
TR,Ivann,ROAM,24,17,0.71,78,3.25,214,8.92,2.97,70%
VMS,CLAWKUN,GOLD,22,74,3.36,42,1.91,148,6.73,5.29,73%
VMS,NATCO,JUNGLE,22,92,4.18,51,2.32,142,6.45,4.59,77%
VMS,ZQEEF,MID,22,71,3.23,50,2.27,154,7,4.5,74%
VMS,ERROR 404,EXP,22,60,2.73,65,2.95,140,6.36,3.08,64%
VMS,ZENOO,ROAM,22,15,0.68,72,3.27,184,8.36,2.76,67%
BTRM,CikuGais,GOLD,20,68,3.4,40,2,131,6.55,4.98,70%
BTRM,Rasy,JUNGLE,20,84,4.2,48,2.4,118,5.9,4.21,74%
BTRM,Zieyy,MID,20,63,3.15,47,2.35,129,6.45,4.09,70%
BTRM,Anavel,EXP,20,52,2.6,62,3.1,121,6.05,2.79,63%
BTRM,Jarvis,ROAM,20,14,0.7,68,3.4,157,7.85,2.51,64%
RRQT,Garyy,GOLD,20,72,3.6,44,2.2,132,6.6,4.64,72%
RRQT,Rough,JUNGLE,20,85,4.25,50,2.5,119,5.95,4.08,73%
RRQT,Superyoshi,MID,20,61,3.05,48,2.4,124,6.2,3.85,67%
RRQT,Kyym,EXP,20,55,2.75,63,3.15,117,5.85,2.73,62%
RRQT,Nadzim,ROAM,20,12,0.6,72,3.6,148,7.4,2.22,59%
AC,Izanami,GOLD,22,71,3.23,51,2.32,131,5.95,3.97,67%
AC,Eyymal,JUNGLE,22,78,3.55,58,2.64,117,5.32,3.36,65%
AC,Fezzy,MID,22,58,2.64,55,2.5,124,5.64,3.31,64%
AC,Xavi,EXP,22,51,2.32,68,3.09,113,5.14,2.41,58%
AC,Redz,ROAM,22,13,0.59,77,3.5,145,6.59,2.05,56%
FL,Skyzed,GOLD,14,42,3,38,2.71,82,5.86,3.29,62%
FL,Afdhal,JUNGLE,14,46,3.29,42,3,74,5.29,2.86,58%
FL,Takeo,MID,14,35,2.5,40,2.86,78,5.57,2.83,57%
FL,Firon,EXP,14,30,2.14,48,3.43,68,4.86,2.04,53%
FL,Hyquill,ROAM,14,8,0.57,53,3.79,91,6.5,1.87,54%
